"iso_code","glottocode","wals_code","Name","genus","SVO_order","Glottocode","Name_SIL","Language.name","Longitude","Latitude","Area_GLOT","Continent_SIL","Country","Status_GLOT","Population_SIL","Family_SIL_Lv1","Family_SIL_Lv2","Family_SIL_Lv3","Family_GLOT_Lv1","Family_GLOT_Lv2","Family_GLOT_Lv3"
"ewe","ewee1241","ewa","Ewe (Anglo)","Kwa",NA,"ewee1241","Ewe","Ewe",0.81498,6.46061,"Africa","Africa","Ghana (GH) / Togo (TG)","not endangered",2250000,"Niger-Congo","Atlantic-Congo","Kwa","Atlantic-Congo","Volta-Congo","Kwa Volta-Congo"
"ewo","ewon1239","ewo","Ewondo","Bantoid","2 SVO","ewon1239","Ewondo","Ewondo",11.9365,4.21141,"Africa","Africa","Cameroon (CM) / Equatorial Guinea (GQ) / Gabon (GA)","not endangered",578000,"Niger-Congo","Atlantic-Congo","Benue-Congo","Atlantic-Congo","Volta-Congo","Benue-Congo"
"eya","eyak1241","eya","Eyak","Eyak",NA,"eyak1241","Eyak","Eyak",-144.762,60.4232,"North America","Americas","United States (US)","extinct",50,"Na-Dene","Nuclear Na-Dene","Eyak","Athabaskan-Eyak-Tlingit","Athabaskan-Eyak",NA
"faa","fasu1242","fas","Fasu","Fasu",NA,"fasu1242","Fasu","Fasu",143.284,-6.62687,"Papunesia","Pacific","Papua New Guinea (PG)","shifting",1200,"Trans-New Guinea","West Kutubu",NA,NA,NA,NA
"fao","faro1244","far","Faroese","Germanic",NA,"faro1244","Faroese","Faroese",-6.88497,62.0732,"Eurasia","Europe","Denmark (DK) / United States (US)","threatened",48200,"Indo-European","Germanic","West Scandinavian","Indo-European","Germanic","Northwest Germanic"
"fap","palo1243","plr","Palor","Northern Atlantic",NA,"palo1243","Palor","Palor",-16.9557,14.8628,"Africa","Africa","Senegal (SN)","shifting",10700,"Niger-Congo","Atlantic-Congo","Northern","Atlantic-Congo","North-Central Atlantic","North Atlantic"
"fcs","queb1245","lsq","Langue des Signes Qu矇becoise","Sign Languages",NA,"queb1245","Quebec Sign Language","Quebec Sign Language",-74.8719,45.9965,"North America","Americas","Canada (CA)","shifting",0,"Deaf sign language",NA,NA,"Sign Language","Deaf Sign Language","LSFic"
"ffm","maas1239","fum","Fulfulde (Maasina)","Northern Atlantic",NA,"maas1239","Maasina Fulfulde","Maasina Fulfulde",-3.64763,11.1324,"Africa","Africa","Burkina Faso (BF) / C?te d'Ivoire (CI) / Ghana (GH) / Mali (ML) / Mauritania (MR) / Niger (NE)","not endangered",1e+06,"Niger-Congo","Atlantic-Congo","Northern","Atlantic-Congo","North-Central Atlantic","North Atlantic"
"fia","nobi1240","nob","Nobiin","Nubian",NA,"nobi1240","Nobiin","Nobiin",31.8376,22.8142,"Africa","Africa","Egypt (EG) / Sudan (SD)","threatened",310000,"Nilo-Saharan","Eastern Sudanic","Nubian","Nubian","Nobiin Nubian",NA
"fij","fiji1243","ndr","Nadroga","Oceanic","7 No dominant order","fiji1243","Fijian","Fijian",178.33,-18,"Papunesia","Pacific","Fiji (FJ)","not endangered",330000,"Austronesian","Malayo-Polynesian","Eastern Malayo-Polynesian","Austronesian","Malayo-Polynesian","Central-Eastern Malayo-Polynesian"
"fij","fiji1243","fij","Fijian","Oceanic","7 No dominant order","fiji1243","Fijian","Fijian",178.33,-18,"Papunesia","Pacific","Fiji (FJ)","not endangered",330000,"Austronesian","Malayo-Polynesian","Eastern Malayo-Polynesian","Austronesian","Malayo-Polynesian","Central-Eastern Malayo-Polynesian"
"fin","finn1318","fin","Finnish","Finnic","2 SVO","finn1318","Finnish","Finnish",25.5577,64.7628,"Eurasia","Europe","Estonia (EE) / Finland (FI) / Norway (NO) / Russian Federation (RU) / Sweden (SE)","not endangered",4700000,"Uralic","Finnic",NA,"Uralic","Finnic","Coastal Finnic"
"fla","kali1308","kls","Kalispel","Interior Salish","3 VSO","kali1308","Kalispel-Pend Doreille","Kalispel-Pend d'Oreille",-114.19,47.5825,"North America","Americas","United States (US)","moribund",64,"Salishan","Interior Salish",NA,"Salishan","Interior Salish","Southern Interior Salish"
"fmp","fefe1239","fef","Fe'fe'","Bantoid",NA,"fefe1239","Fefe","Fe'fe'",10.1442,5.18158,"Africa","Africa","Cameroon (CM)","not endangered",124000,"Niger-Congo","Atlantic-Congo","Benue-Congo","Atlantic-Congo","Volta-Congo","Benue-Congo"
"foi","foii1241","foe","Foe","Kutubuan","1 SOV","foii1241","Foi","Foi",143.495,-6.47258,"Papunesia","Pacific","Papua New Guinea (PG)","not endangered",2800,"Trans-New Guinea","East Kutubu",NA,"East Kutubu",NA,NA
"fon","fonn1241","fon","Fongbe","Kwa","2 SVO","fonn1241","Fon","Fon",1.66495,7.15484,"Africa","Africa","Benin (BJ) / Togo (TG)","not endangered",1400000,"Niger-Congo","Atlantic-Congo","Kwa","Atlantic-Congo","Volta-Congo","Kwa Volta-Congo"
"for","fore1270","for","Fore","Eastern Highlands","1 SOV","fore1270","Fore","Fore",145.507,-6.64473,"Papunesia","Pacific","Papua New Guinea (PG)","not endangered",17000,"Trans-New Guinea","Kainantu-Goroka","Fore","Nuclear Trans New Guinea","Kainantu-Goroka","Goroka"
"fos","sira1267","sry","Siraya","East Formosan",NA,"sira1267","Siraya","Siraya",120.315,22.9777,"Papunesia","Asia","Taiwan, Province of China (TW)","extinct",0,"Austronesian","East Formosan",NA,"Austronesian","East Formosan",NA
"fqs","fass1245","fqs","Momu","Fas","1 SOV","fass1245","Fas","Momu-Fas",141.64,-3.10868,"Papunesia","Pacific","Papua New Guinea (PG)","shifting",2500,"Arai-Kwomtari","Kwomtari",NA,"Baibai-Fas",NA,NA
"fra","stan1290","fre","French","Romance","2 SVO","stan1290","French","French",2,48,"Eurasia","Europe","Andorra (AD) / Belgium (BE) / Canada (CA) / France (FR) / French Guiana (GF) / Italy (IT) / Luxembourg (LU) / Monaco (MC) / Saint Pierre and Miquelon (PM) / Switzerland (CH) / United States (US)","not endangered",5.3e+07,"Indo-European","Italic","Italo-Western","Indo-European","Italic","Latino-Faliscan"
"frd","ford1242","frd","Fordata","Central Malayo-Polynesian",NA,"ford1242","Fordata","Fordata",131.511,-7.28902,"Papunesia","Asia","Indonesia (ID)","threatened",50000,"Austronesian","Malayo-Polynesian","Central Malayo-Polynesian","Austronesian","Malayo-Polynesian","Central-Eastern Malayo-Polynesian"
"frr","nort2626","fno","Frisian (North)","Germanic",NA,"nort2626","Northern Frisian","Northern Frisian",8.58489,54.6409,"Eurasia","Europe","Denmark (DK) / Germany (DE)","shifting",10000,"Indo-European","Germanic","Frisian","Indo-European","Germanic","Northwest Germanic"
"frs","east2288","fea","Frisian (Eastern)","Germanic",NA,"east2288","Eastern Frisian","Eastern Frisian",7.73549,52.9713,"Eurasia","Europe","Germany (DE)","threatened",2000,"Indo-European","Germanic","Low Saxon-Low Franconian","Indo-European","Germanic","Northwest Germanic"
"frs","east2288","fri","Frisian","Germanic","7 No dominant order","east2288","Eastern Frisian","Eastern Frisian",7.73549,52.9713,"Eurasia","Europe","Germany (DE)","threatened",2000,"Indo-European","Germanic","Low Saxon-Low Franconian","Indo-European","Germanic","Northwest Germanic"
"fry","west2354","frw","Frisian (Western)","Germanic",NA,"west2354","Western Frisian","Western Frisian",5.86091,53.143,"Eurasia","Europe","Netherlands (NL)","not endangered",467000,"Indo-European","Germanic","Frisian","Indo-European","Germanic","Northwest Germanic"
"fse","finn1310","fsl","Finnish Sign Language","Sign Languages",NA,"finn1310","Finnish Sign Language","Finnish Sign Language",25.0677,60.661,"Eurasia","Europe","Finland (FI)","shifting",5000,"Deaf sign language",NA,NA,"Sign Language","Deaf Sign Language","Swedish Sign"
"fsl","fren1243","lsf","Langue des Signes Fran癟aise","Sign Languages",NA,"fren1243","French Sign Language","French Sign Language",3,47,"Eurasia","Europe","France (FR) / Togo (TG)","not endangered",50000,"Deaf sign language",NA,NA,"Sign Language","Deaf Sign Language","LSFic"
"fub","adam1253","fgo","Fulani (Gombe)","Northern Atlantic",NA,"adam1253","Adamawa Fulfulde","Adamawa Fulfulde",13.0773,8.14033,"Africa","Africa","Cameroon (CM) / Chad (TD) / Eritrea (ER) / Ethiopia (ET) / Nigeria (NG) / Sudan (SD)","not endangered",7611000,"Niger-Congo","Atlantic-Congo","Northern","Atlantic-Congo","North-Central Atlantic","North Atlantic"
"fub","adam1253","fua","Fula (Cameroonian)","Northern Atlantic","2 SVO","adam1253","Adamawa Fulfulde","Adamawa Fulfulde",13.0773,8.14033,"Africa","Africa","Cameroon (CM) / Chad (TD) / Eritrea (ER) / Ethiopia (ET) / Nigeria (NG) / Sudan (SD)","not endangered",7611000,"Niger-Congo","Atlantic-Congo","Northern","Atlantic-Congo","North-Central Atlantic","North Atlantic"
"fuc","pula1263","fma","Fula (Mauritanian)","Northern Atlantic",NA,"pula1263","Pulaar","Pulaar",-13.4482,13.8694,"Africa","Africa","Gambia (GM) / Guinea (GN) / Guinea-Bissau (GW) / Mali (ML) / Mauritania (MR) / Senegal (SN)","not endangered",2740000,"Niger-Congo","Atlantic-Congo","Northern","Atlantic-Congo","North-Central Atlantic","North Atlantic"
"fuc","pula1263","fus","Fula (Senegal)","Northern Atlantic",NA,"pula1263","Pulaar","Pulaar",-13.4482,13.8694,"Africa","Africa","Gambia (GM) / Guinea (GN) / Guinea-Bissau (GW) / Mali (ML) / Mauritania (MR) / Senegal (SN)","not endangered",2740000,"Niger-Congo","Atlantic-Congo","Northern","Atlantic-Congo","North-Central Atlantic","North Atlantic"
"fud","east2447","fue","Futuna (East)","Oceanic",NA,"east2447","East Futuna","East Futuna",-178.137,-14.2787,"Papunesia","Pacific","Wallis and Futuna (WF)","not endangered",3600,"Austronesian","Malayo-Polynesian","Eastern Malayo-Polynesian","Austronesian","Malayo-Polynesian","Central-Eastern Malayo-Polynesian"
"fuf","pula1262","fgu","Fula (Guinean)","Northern Atlantic",NA,"pula1262","Pular","Pular",-12.7338,12.1826,"Africa","Africa","Guinea (GN) / Guinea-Bissau (GW) / Mali (ML) / Senegal (SN) / Sierra Leone (SL)","not endangered",2550000,"Niger-Congo","Atlantic-Congo","Northern","Atlantic-Congo","North-Central Atlantic","North Atlantic"
"fuh","west2454","fbf","Fula (Burkina Faso)","Northern Atlantic",NA,"west2454","Northeastern Burkina Faso Fulfulde","Western Niger Fulfulde",-0.52004,14.2471,"Africa","Africa","Benin (BJ) / Burkina Faso (BF) / Mali (ML) / Niger (NE) / Nigeria (NG)","not endangered",750000,"Niger-Congo","Atlantic-Congo","Northern","Atlantic-Congo","North-Central Atlantic","North Atlantic"
