Glottocode,ISO,Name_SIL,Language name,Longitude,Latitude,Area_GLOT,Continent_SIL,Country,Status_GLOT,Population_SIL,Family_SIL_Lv1,Family_SIL_Lv2,Family_SIL_Lv3,Family_GLOT_Lv1,Family_GLOT_Lv2,Family_GLOT_Lv3
wapi1253,wap,Wapishana,Wapishana,-59.8021,2.58744,South America,Americas,Brazil (BR) / Guyana (GY),threatened,6500,Arawakan,Maipuran,Wapishanan,Arawakan,Northern Maipuran,Negro-Roraima
wapp1239,wao,Wappo,Wappo,-122.5,38.25,North America,Americas,United States (US),extinct,50,Yuki,NA,NA,Yuki-Wappo,NA,NA
wara1290,wrz,Waray,Warray,131.236,-13.0941,Australia,Pacific,Australia (AU),nearly extinct,0,Australian,Gunwingguan,NA,Gunwinyguan,Western Gunwinyguan,Warrayic
wara1292,wbf,Wara,Samue,-5.37515,10.7283,Africa,Africa,Burkina Faso (BF) / Mali (ML),shifting,4500,Niger-Congo,Atlantic-Congo,North,Atlantic-Congo,Volta-Congo,North Volta-Congo
wara1294,tci,Wara,Anta-Komnzo-W?ra-W?r?-K?m?,141.52,-8.64917,Papunesia,Pacific,Papua New Guinea (PG),shifting,700,South-Central Papuan,Morehead-Upper Maro,NA,Morehead-Wasur,Morehead-Maro,Tonda
wara1299,srv,Waray Sorsogon,Waray Sorsogon,124.015,12.6795,Papunesia,Asia,Philippines (PH),not endangered,185000,Austronesian,Malayo-Polynesian,Greater Central Philippine,Austronesian,Malayo-Polynesian,Greater Central Philippine
wara1300,war,Waray-Waray,Waray (Philippines),125.012,11.4911,Papunesia,Asia,Philippines (PH),not endangered,2570000,Austronesian,Malayo-Polynesian,Greater Central Philippine,Austronesian,Malayo-Polynesian,Greater Central Philippine
wara1302,wra,Warapu,Warapu,142.012,-3.07263,Papunesia,Pacific,Papua New Guinea (PG),shifting,300,Sko,Krisa,NA,Sko,Skou-Serra-Piore,NA
wara1303,wba,Warao,Warao,-59.3528,7.50851,South America,Americas,"Guyana (GY) / Suriname (SR) / Venezuela, Bolivarian Republic of (VE)",threatened,28100,Language Isolate,NA,NA,NA,NA,NA
ward1246,wrr,Wardaman,Wardaman,132.604,-15.4155,Australia,Pacific,Australia (AU),moribund,50,Australian,Gunwingguan,NA,Yangmanic,NA,NA
