"glottocode","society","family","macroarea","continent","vitality","Pop_area","Pop_indiv","EA005","EA015","EA015_2","EA033","EA043","EA202","per_wetqu","n_warm_month","elevSD","lang_rich","phylo_rich","id","Long","Lat"
"hame1242","Banna","sout2845","Africa","Africa",0.8,0.0801260111243008,0.000050952380952381,4,"exogamy","yes",1,"unilineal",0.0000621625209798508,0.173976608187135,1,0.327058999443162,0.0793296089385475,0.131147540983607,"1035",36,6
"hanu1241","Hanunoo","aust1307","Papunesia","Asia",1,0.383989571318484,0.0000154761904761905,7,"agamy","no",0,"non-unilineal",0.0000746625251986023,0.291228070175439,0.833333333333333,0.118075266018569,0.140782122905028,0.0983606557377049,"700",121,13
"hass1238","Delim","afro1255","Africa","Africa",0.2,0,0.00329761904761905,2,"agamy","no",3,"unilineal",0.0000746625251986023,0.0116959064327485,1,0.0290779158259945,0,0,"735",-15,22
"hass1238","Tekna","afro1255","Africa","Africa",0.2,0.0797836470118175,0.00329761904761905,6,NA,NA,1,"unilineal",NA,0.0309941520467836,0.75,0.323292939510268,0.00446927374301676,0,"626",-11,28
"hass1238","Regeibat","afro1255","Africa","Africa",0.2,0,0.00329761904761905,2,"exogamy","yes",3,"unilineal",0.000437162647542394,0.0116959064327485,1,0.0290779158259945,0,0,"735",-13,22
"hass1238","Kunta","afro1255","Africa","Africa",0.2,0.00118644253311451,0.00329761904761905,2,"endogamy","yes",1,"unilineal",NA,0.058187134502924,1,0.0166680771081224,0.00558659217877095,0.0163934426229508,"794",-1,19
"hass1238","Trarza","afro1255","Africa","Africa",0.2,0.0260098307564512,0.00329761904761905,3,NA,NA,3,"unilineal",0.00093716281629245,0.0754385964912281,1,0.0728762857280915,0.00893854748603352,0.0327868852459016,"849",-15,18
"hass1238","Barabish","afro1255","Africa","Africa",0.2,0.00144551324177873,0.00329761904761905,1,"endogamy","yes",1,"unilineal",0.000187162563167365,0.0415204678362573,1,0.00396462787392932,0.00223463687150838,0.0163934426229508,"850",-5,20
"haus1257","Tazarawa","afro1255","Africa","Africa",1,0.196308086814377,0.0220238095238095,7,"agamy","no",2,"unilineal",0.000624662710823665,0.374853801169591,1,0.0604870329858802,0.145251396648045,0.0983606557377049,"911",8,14
"hava1249","Havasupai","coch1271","North America","Americas",NA,0.000674669334323061,NA,5,"endogamy","no",0,"non-unilineal",0.000002162500729844,0.0567251461988304,0.333333333333333,0.149743387802723,0.0111731843575419,0.0819672131147541,"508",-112,36
"hawa1245","Hawaiians","aust1307","Papunesia","Americas",0.4,0.00218073854509906,0.00000119047619047619,5,"endogamy","yes",2,"non-unilineal",NA,0.0672514619883041,0.333333333333333,0.469101390146571,0.0391061452513966,0.131147540983607,"507",-155.83,19.89
"haya1250","Haya","atla1278","Africa","Africa",1,0.105939295499542,0.00154761904761905,5,"exogamy","no",2,"unilineal",0.00406216387098031,0.194152046783626,1,0.344078083662802,0.0614525139664804,0.0327868852459016,"1094",32,-1
"haza1239","Hazara","indo1319","Eurasia","Asia",1,0.0235457643793515,0.00210714285714286,5,"agamy","no",1,"unilineal",0.00624966460926181,0.0795321637426901,0.416666666666667,0.722660194793791,0.00782122905027933,0.0163934426229508,"483",66,35
"hehe1240","Hehe","atla1278","Africa","Africa",1,0.0425474791850164,0.000958333333333333,6,"exogamy","yes",2,"unilineal",0.00106216285847996,0.262280701754386,1,0.132191600913947,0.0681564245810056,0.0655737704918033,"975",35,-8
"here1253","Herero","atla1278","Africa","Africa",0.8,0.00603786720039092,0.000245238095238095,0,"exogamy","no",0,"non-unilineal",0.00124966292176124,0.20233918128655,1,0.0111283822160241,0.0111731843575419,0.0327868852459016,"740",16,-21
"hida1246","Hidatsa","siou1252","North America","Americas",0.2,0.0000583488023452412,0.000000119047619047619,6,"agamy","no",0,"unilineal",NA,0.121052631578947,0.25,0.0210073421837255,0.00446927374301676,0.0327868852459016,"324",-101,47
"high1242","Tequistlatec","tequ1244","North America","Americas",0.6,0.0085685683005459,0.00000428571428571429,8,"endogamy","yes",NA,"unilineal",0.0000621625209798508,0.573099415204678,1,0.085671494890615,0.214525139664804,0.0983606557377049,"836",-96,16
"high1276","Sierra Popoluca","mixe1284","North America","Americas",0.8,0.0085685683005459,0.0000357142857142857,8,NA,NA,0,"non-unilineal",NA,0.573099415204678,1,0.085671494890615,0.214525139664804,0.0983606557377049,"836",-95,18
"hlai1239","Li","taik1256","Eurasia","Asia",1,0.240564882694068,0.000794047619047619,7,"exogamy","no",2,"unilineal",0.00274966342801141,0.395321637426901,0.666666666666667,0.121500025945187,0.0435754189944134,0.0655737704918033,"699",109,19
"hoch1243","Ho Chunk","siou1252","North America","Americas",0.6,0.0000158119971628863,0.0000000130952380952381,3,"endogamy","yes",1,"unilineal",NA,0.177777777777778,0.333333333333333,0.0410230223779221,0.00558659217877095,0.0163934426229508,"414",-88,44
"hogg1238","Tuareg Ahaggar","afro1255","Africa","Africa",NA,0.0000904576496732624,NA,3,"exogamy","yes",2,"unilineal",NA,0.00555555555555556,0.75,0.191771079420952,0,0,"683",6,23
"hooo1248","Ho","aust1305","Eurasia","Asia",0.8,0.382330075078945,0.00178571428571429,6,"exogamy","yes",NA,"unilineal",0.00653716470629309,0.478654970760234,1,0.123644500245579,0.0715083798882682,0.0655737704918033,"695",85,22
"hopi1249","Hopi","utoa1244","North America","Americas",0.6,0.000674669334323061,0.00000626190476190476,7,"agamy","no",0,"unilineal",0.0000434125146517237,0.0567251461988304,0.333333333333333,0.149743387802723,0.0111731843575419,0.0819672131147541,"508",-111,36
"horn1235","Miao","hmon1336","Eurasia","Asia",1,0.299904637736561,0.0000595238095238095,6,"endogamy","yes",1,"non-unilineal",0.0312496730467647,0.335087719298246,0.666666666666667,0.18479231044417,0.157541899441341,0.0655737704918033,"698",107,26
"hozo1236","Mao","maoo1243","Africa","Africa",0.6,0.0801260111243008,0.00000357142857142857,6,"exogamy","yes",1,"unilineal",NA,0.173976608187135,1,0.327058999443162,0.0793296089385475,0.131147540983607,"1035",35,9
